"Work Item Type","ID","Titulo","State","Assigned To","Area Path","URL Destino","Prioridad","Categoria","Descripcion","Precondiciones","Test Step","Accion","Valor","Descripcion del paso","Resultado Esperado"
"Test Case","","Ver catálogo de productos de cocina","Design","","CocinaStore","http://localhost:5174","Alta","Catalogo","Verificar que el catálogo muestra productos de cocina con precio en COP.","Portal desplegado.","2","Verificar elemento visible","article[class*='card']","Revisar la lista de productos mostrada.","Se muestran al menos 10 productos con imagen, nombre, categoría y precio en COP."
"Test Case","","Ver catálogo de productos de cocina","Design","","CocinaStore","http://localhost:5174","Alta","Catalogo","Verificar que el catálogo muestra productos de cocina con precio en COP.","Portal desplegado.","3","Verificar texto","Añadir al carrito","Comprobar que cada producto tiene botón Añadir al carrito.","Todos los productos muestran el botón Añadir al carrito."
"Test Case","","Ver detalle de un producto","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar navegación al detalle y datos del producto.","Catálogo cargado.","1","Navegar a URL","http://localhost:5174/","Desde el catálogo cargar la página.","Se muestra el catálogo."
"Test Case","","Ver detalle de un producto","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar navegación al detalle y datos del producto.","Catálogo cargado.","2","Click en elemento","a[href^='/producto/']","Hacer clic en un producto (nombre o tarjeta).","Se navega a la página de detalle del producto."
"Test Case","","Ver detalle de un producto","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar navegación al detalle y datos del producto.","Catálogo cargado.","3","Verificar elemento visible","button[class*='addBtn']","Revisar la información mostrada.","Se muestran imagen, nombre, categoría, precio en COP, descripción, stock y botón Añadir al carrito."
"Test Case","","Ver detalle de un producto","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar navegación al detalle y datos del producto.","Catálogo cargado.","4","Click en elemento","//button[contains(text(),'Volver')]","Pulsar el enlace o botón Volver.","Se regresa al catálogo o página anterior."
"Test Case","","Añadir producto al carrito desde el catálogo","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar que se puede añadir un producto al carrito desde el catálogo.","Portal desplegado; catálogo visible.","1","Navegar a URL","http://localhost:5174/","En el catálogo localizar un producto.","El producto se visualiza con su precio y botón."
"Test Case","","Añadir producto al carrito desde el catálogo","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar que se puede añadir un producto al carrito desde el catálogo.","Portal desplegado; catálogo visible.","2","Click en elemento","article[class*='card'] button[class*='addBtn']","Pulsar Añadir al carrito en el primer producto.","No se muestra error en pantalla."
"Test Case","","Añadir producto al carrito desde el catálogo","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar que se puede añadir un producto al carrito desde el catálogo.","Portal desplegado; catálogo visible.","3","Verificar elemento visible","span[class*='badge']","Revisar el header (enlace Carrito).","El contador del carrito en el header muestra 1 o se incrementa."
"Test Case","","Añadir producto al carrito desde el catálogo","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar que se puede añadir un producto al carrito desde el catálogo.","Portal desplegado; catálogo visible.","4","Click en elemento","a[href='/carrito']","Pulsar Carrito en el header.","Se abre la página del carrito con el producto añadido."
"Test Case","","Añadir producto al carrito desde detalle","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar añadir al carrito desde la página de detalle y redirección.","Portal desplegado.","1","Navegar a URL","http://localhost:5174/producto/1","Abrir el detalle de un producto desde el catálogo.","Se muestra la página de detalle."
"Test Case","","Añadir producto al carrito desde detalle","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar añadir al carrito desde la página de detalle y redirección.","Portal desplegado.","2","Click en elemento","button[class*='addBtn']","Pulsar Añadir al carrito.","La acción se ejecuta sin error."
"Test Case","","Añadir producto al carrito desde detalle","Design","","CocinaStore","http://localhost:5174","Alta","Carrito","Verificar añadir al carrito desde la página de detalle y redirección.","Portal desplegado.","3","Verificar URL","/carrito","Verificar la redirección.","La aplicación redirige a la página del carrito con el producto y total en COP."
"Test Case","","Modificar cantidad en el carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar incrementar y reducir cantidad en el carrito.","Al menos un producto en el carrito.","1","Navegar a URL","http://localhost:5174/carrito","Ir al carrito con al menos un producto.","Se muestra la página del carrito con al menos una línea."
"Test Case","","Modificar cantidad en el carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar incrementar y reducir cantidad en el carrito.","Al menos un producto en el carrito.","2","Click en elemento","button[class*='qtyBtn']:last-of-type","Pulsar el botón + en la cantidad del producto (segundo botón de cantidad).","La cantidad se incrementa en 1."
"Test Case","","Modificar cantidad en el carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar incrementar y reducir cantidad en el carrito.","Al menos un producto en el carrito.","3","Verificar elemento visible","aside[class*='summary']","Verificar subtotal de la línea y total general.","El subtotal y el total se recalculan y muestran en COP."
"Test Case","","Modificar cantidad en el carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar incrementar y reducir cantidad en el carrito.","Al menos un producto en el carrito.","4","Click en elemento","button[class*='qtyBtn']:first-of-type","Pulsar el botón - para reducir la cantidad.","La cantidad disminuye en 1."
"Test Case","","Eliminar producto del carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar eliminar un producto del carrito.","Al menos un producto en el carrito.","1","Navegar a URL","http://localhost:5174/carrito","Ir al carrito con al menos un producto.","Se muestra el listado con uno o más productos."
"Test Case","","Eliminar producto del carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar eliminar un producto del carrito.","Al menos un producto en el carrito.","2","Click en elemento","button[class*='removeBtn']","Pulsar Quitar en uno de los productos.","El producto desaparece del listado."
"Test Case","","Eliminar producto del carrito","Design","","CocinaStore","http://localhost:5174","Media","Carrito","Verificar eliminar un producto del carrito.","Al menos un producto en el carrito.","3","Verificar texto","Tu carrito está vacío","Revisar el resumen (si no quedan productos).","El resumen se actualiza; si no quedan productos se muestra mensaje de carrito vacío."
"Test Case","","Ver carrito vacío","Design","","CocinaStore","http://localhost:5174","Baja","Carrito","Verificar mensaje y enlace cuando el carrito está vacío.","Carrito sin productos.","1","Navegar a URL","http://localhost:5174/","Asegurarse de que el carrito está vacío.","El carrito no tiene ítems."
"Test Case","","Ver carrito vacío","Design","","CocinaStore","http://localhost:5174","Baja","Carrito","Verificar mensaje y enlace cuando el carrito está vacío.","Carrito sin productos.","2","Click en elemento","a[href='/carrito']","Acceder a Carrito en el header.","Se abre la página del carrito."
"Test Case","","Ver carrito vacío","Design","","CocinaStore","http://localhost:5174","Baja","Carrito","Verificar mensaje y enlace cuando el carrito está vacío.","Carrito sin productos.","3","Verificar texto","Tu carrito está vacío","Revisar el mensaje mostrado.","Se muestra el mensaje Tu carrito está vacío y enlace para Ver catálogo."
"Test Case","","Checkout sin sesión iniciada","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar que se solicita login al intentar checkout sin sesión.","Usuario no logueado; al menos un producto en el carrito.","1","Navegar a URL","http://localhost:5174/checkout","Ir a checkout con productos en el carrito sin estar logueado.","Se muestra mensaje de que debe iniciar sesión para continuar."
"Test Case","","Checkout sin sesión iniciada","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar que se solicita login al intentar checkout sin sesión.","Usuario no logueado; al menos un producto en el carrito.","2","Verificar elemento visible","a[href*='/login']","Comprobar que hay enlace Iniciar sesión.","Se muestra enlace a Iniciar sesión."
"Test Case","","Checkout sin sesión iniciada","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar que se solicita login al intentar checkout sin sesión.","Usuario no logueado; al menos un producto en el carrito.","3","Click en elemento","a[href*='/login']","Pulsar el enlace Iniciar sesión.","Se navega a la pantalla de login."
"Test Case","","Seleccionar dirección de envío en checkout","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar selección de dirección en checkout.","Usuario logueado (demo@cocina.com); al menos una dirección en Mi cuenta; productos en el carrito.","1","Navegar a URL","http://localhost:5174/login","Iniciar sesión con demo@cocina.com y demo123.","El usuario tiene sesión iniciada."
"Test Case","","Seleccionar dirección de envío en checkout","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar selección de dirección en checkout.","Usuario logueado; al menos una dirección; productos en el carrito.","2","Navegar a URL","http://localhost:5174/checkout","Añadir productos al carrito e ir a Checkout.","Se muestra la página de checkout con sección Dirección de envío."
"Test Case","","Seleccionar dirección de envío en checkout","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar selección de dirección en checkout.","Usuario logueado; al menos una dirección; productos en el carrito.","3","Click en elemento","input[type='radio'][name='address']","Seleccionar una dirección con el radio button.","La dirección seleccionada queda marcada."
"Test Case","","Seleccionar dirección de envío en checkout","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar selección de dirección en checkout.","Usuario logueado; al menos una dirección; productos en el carrito.","4","Verificar elemento visible","p[class*='selectedSummary']","Verificar el resumen de envío.","La dirección elegida se muestra como destino de envío."
"Test Case","","Completar pago simulado con tarjeta","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar flujo de pago simulado con tarjeta.","Usuario logueado; dirección seleccionada; productos en el carrito.","1","Navegar a URL","http://localhost:5174/checkout","En checkout con dirección seleccionada localizar el formulario de pago.","Se muestra el formulario (número, nombre, vencimiento, CVC) y el total en COP."
"Test Case","","Completar pago simulado con tarjeta","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar flujo de pago simulado con tarjeta.","Usuario logueado; dirección seleccionada; productos en el carrito.","2","Escribir texto","input[type='text']|4111111111111111","Completar número de tarjeta (primer input del formulario de pago).","Los campos aceptan el valor."
"Test Case","","Completar pago simulado con tarjeta","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar flujo de pago simulado con tarjeta.","Usuario logueado; dirección seleccionada; productos en el carrito.","3","Click en elemento","button[type='submit']","Pulsar Pagar con tarjeta.","Se muestra estado Procesando pago..."
"Test Case","","Completar pago simulado con tarjeta","Design","","CocinaStore","http://localhost:5174","Alta","Checkout","Verificar flujo de pago simulado con tarjeta.","Usuario logueado; dirección seleccionada; productos en el carrito.","4","Verificar texto","Pago procesado","Esperar a que finalice el proceso.","Aparece mensaje de éxito (Pago procesado simulado)."
"Test Case","","Ver precios en pesos colombianos (COP)","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que todos los precios se muestran en formato COP.","Portal desplegado.","1","Navegar a URL","http://localhost:5174/","Abrir el catálogo.","Se carga el catálogo."
"Test Case","","Ver precios en pesos colombianos (COP)","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que todos los precios se muestran en formato COP.","Portal desplegado.","2","Verificar texto","$","Revisar el precio de varios productos (símbolo y formato).","Los precios se muestran en formato colombiano (ej. $359.000)."
"Test Case","","Ver precios en pesos colombianos (COP)","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que todos los precios se muestran en formato COP.","Portal desplegado.","3","Navegar a URL","http://localhost:5174/carrito","Abrir el carrito con productos.","Subtotal, envío y total se muestran en COP."
"Test Case","","Cerrar sesión","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que el usuario puede cerrar sesión.","Usuario logueado (demo@cocina.com).","1","Navegar a URL","http://localhost:5174/login","Iniciar sesión con demo@cocina.com y demo123.","En el header se ve Mi cuenta y Cerrar sesión."
"Test Case","","Cerrar sesión","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que el usuario puede cerrar sesión.","Usuario logueado (demo@cocina.com).","2","Click en elemento","button[class*='logoutBtn']","Pulsar Cerrar sesión en el header.","La sesión se cierra."
"Test Case","","Cerrar sesión","Design","","CocinaStore","http://localhost:5174","Media","Autenticacion","Verificar que el usuario puede cerrar sesión.","Usuario logueado (demo@cocina.com).","3","Verificar elemento visible","a[href='/login']","Revisar el header.","Aparece Iniciar sesión en lugar de Cerrar sesión."
"Test Case","","Gestionar direcciones en Mi cuenta","Design","","CocinaStore","http://localhost:5174","Media","Mi cuenta","Verificar CRUD de direcciones en Mi cuenta.","Usuario logueado.","1","Navegar a URL","http://localhost:5174/cuenta","Iniciar sesión e ir a Mi cuenta desde el header.","Se muestra la página Mi cuenta con la sección Direcciones."
"Test Case","","Gestionar direcciones en Mi cuenta","Design","","CocinaStore","http://localhost:5174","Media","Mi cuenta","Verificar CRUD de direcciones en Mi cuenta.","Usuario logueado.","2","Click en elemento","button[class*='addBtn']","Pulsar Añadir dirección; completar formulario y Guardar.","La nueva dirección aparece en la lista."
"Test Case","","Gestionar direcciones en Mi cuenta","Design","","CocinaStore","http://localhost:5174","Media","Mi cuenta","Verificar CRUD de direcciones en Mi cuenta.","Usuario logueado.","3","Click en elemento","button[class*='editBtn']","Pulsar Editar en una dirección; cambiar un campo; Guardar.","La dirección se muestra actualizada."
"Test Case","","Gestionar direcciones en Mi cuenta","Design","","CocinaStore","http://localhost:5174","Media","Mi cuenta","Verificar CRUD de direcciones en Mi cuenta.","Usuario logueado.","4","Click en elemento","button[class*='deleteBtn']","Pulsar Eliminar en una dirección y confirmar en el diálogo.","La dirección desaparece de la lista."
"Test Case","","Navegación desde header","Design","","CocinaStore","http://localhost:5174","Media","Navegacion","Verificar que todos los enlaces del header funcionan.","Portal desplegado.","1","Navegar a URL","http://localhost:5174/","Sin sesión abrir el portal.","Se carga la página."
"Test Case","","Navegación desde header","Design","","CocinaStore","http://localhost:5174","Media","Navegacion","Verificar que todos los enlaces del header funcionan.","Portal desplegado.","2","Click en elemento","a[href='/']","Pulsar el logo CocinaStore; luego Catálogo.","Cada enlace lleva a la ruta correcta."
"Test Case","","Navegación desde header","Design","","CocinaStore","http://localhost:5174","Media","Navegacion","Verificar que todos los enlaces del header funcionan.","Portal desplegado.","3","Click en elemento","a[href='/carrito']","Pulsar Carrito.","Se abre la página del carrito; si hay ítems el badge muestra la cantidad."
"Test Case","","Navegación desde header","Design","","CocinaStore","http://localhost:5174","Media","Navegacion","Verificar que todos los enlaces del header funcionan.","Portal desplegado.","4","Navegar a URL","http://localhost:5174/login","Iniciar sesión; pulsar Mi cuenta.","Se abre la página de cuenta."
"Test Case","","Navegación desde header","Design","","CocinaStore","http://localhost:5174","Media","Navegacion","Verificar que todos los enlaces del header funcionan.","Portal desplegado.","5","Click en elemento","button[class*='logoutBtn']","Pulsar Cerrar sesión.","Vuelve a mostrarse Iniciar sesión en el header."
"Test Case","","Filtrar catálogo por categoría","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que el catálogo se filtra correctamente al seleccionar una categoría.","Portal desplegado; catálogo visible con productos.","1","Navegar a URL","http://localhost:5174/","Abrir el portal en la ruta raíz.","Se carga la página del catálogo con todas las categorías visibles."
"Test Case","","Filtrar catálogo por categoría","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que el catálogo se filtra correctamente al seleccionar una categoría.","Portal desplegado; catálogo visible con productos.","2","Verificar elemento visible","div[role='group'][aria-label='Filtros por categoría']","Revisar el grupo de filtros por categoría.","Se muestra el panel de filtros con los chips de categorías."
"Test Case","","Filtrar catálogo por categoría","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que el catálogo se filtra correctamente al seleccionar una categoría.","Portal desplegado; catálogo visible con productos.","3","Click en elemento","//button[normalize-space(text())='Ollas']","Pulsar el chip de la categoría Ollas.","El chip cambia a estado activo (aria-pressed=true) y el catálogo se actualiza en menos de 500 ms."
"Test Case","","Filtrar catálogo por categoría","Design","","CocinaStore","http://localhost:5174","Media","Catalogo","Verificar que el catálogo se filtra correctamente al seleccionar una categoría.","Portal desplegado; catálogo visible con productos.","4","Verificar texto","Ollas","Verificar que todos los productos mostrados pertenecen a la categoría seleccionada.","Todas las tarjetas visibles muestran la etiqueta 'Ollas' en la categoría."
"Test Case","","Limpiar filtro de categoría","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que se pueden restablecer los filtros aplicados al catálogo.","Filtro de categoría aplicado previamente.","1","Navegar a URL","http://localhost:5174/","Abrir el catálogo.","Se carga el catálogo."
"Test Case","","Limpiar filtro de categoría","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que se pueden restablecer los filtros aplicados al catálogo.","Filtro de categoría aplicado previamente.","2","Click en elemento","//button[normalize-space(text())='Cuchillos']","Seleccionar una categoría cualquiera (ej. Cuchillos).","El catálogo se filtra por la categoría Cuchillos."
"Test Case","","Limpiar filtro de categoría","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que se pueden restablecer los filtros aplicados al catálogo.","Filtro de categoría aplicado previamente.","3","Click en elemento","//button[normalize-space(text())='Limpiar filtros']","Pulsar el botón Limpiar filtros.","El botón desaparece y el catálogo vuelve a mostrar todos los productos."
"Test Case","","Limpiar filtro de categoría","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que se pueden restablecer los filtros aplicados al catálogo.","Filtro de categoría aplicado previamente.","4","Verificar elemento visible","article[class*='card']","Verificar el listado de productos.","Se muestran nuevamente los 10 productos del catálogo."
"Test Case","","Buscar producto en el catálogo","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que el campo de búsqueda filtra productos por nombre.","Portal desplegado; catálogo visible.","1","Navegar a URL","http://localhost:5174/","Abrir el catálogo.","Se carga el catálogo."
"Test Case","","Buscar producto en el catálogo","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que el campo de búsqueda filtra productos por nombre.","Portal desplegado; catálogo visible.","2","Escribir texto","input[id='catalog-search']|batidora","Escribir el término 'batidora' en el campo de búsqueda.","El campo de búsqueda contiene el texto y el listado se actualiza."
"Test Case","","Buscar producto en el catálogo","Design","","CocinaStore","http://localhost:5174","Baja","Catalogo","Verificar que el campo de búsqueda filtra productos por nombre.","Portal desplegado; catálogo visible.","3","Verificar texto","Batidora de Pie Profesional","Revisar el resultado del filtro.","Se muestra al menos el producto Batidora de Pie Profesional."
